Title,URL,Product,Items Available,Final Price,Date closed,Seller name,Seller page,Description
iPhone 6 Plus 128GB Space Gray {9/10} (6 Month Warranty),https://www.bidorbuy.co.za/item/309251137/iPhone_6_Plus_128GB_Space_Gray_9_10_6_Month_Warranty.html,"
  ,  iPhone 6 Plus  128GB  iOS",1,"R5,299.",10/22/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,: Looks fantastic! No major scratches are visible. {9.5/10} There is however a very minor bright spot at the upper right hand side (visible only on light backgrounds). ,Frame,: Looks great! No major signs of previous use are visible on the frame. {9.5/10} ,Back Casing,: Here we have slightly more evidence of previous use in the form of minor marks and scratches. {9/10} The back casing has also been changed so the IMEI information will be different from the IMEI in settings. ,Functions,: All system functions are working 100% on this device. ,Special Mention,: If you're a fan of the bigger devices, this is the one for you! With this capacity, and with this screen, everything about this device is BIG! Except of course the price, that's what makes this an Epic Deal! ;) ,Accessories,: This device comes with a high quality generic charger and USB cable., ,Andy - ,""Great seller, tab is as good as new. no scratch, no dent. speedy courier service (24hr). im very happy with the service and the tab..."", , ,Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., ,Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). ,Like all our devices, this iPhone is not icloud locked!, ,*Your iPhone comes with a 6 month warranty (excluding general wear and tear)* ,Have peace of mind when buying from Epic Deals In association with one of SA's best repair centres, your device will be covered by a 6 month warranty against manufacturer defects. ,The warranty begins the day you receive your device. Software, liquid and physical damage is not covered. Device will be sent to us for warranty claims and will be processed as quickly as possible. All transport costs to be borne by buyer. If you ever need ""out of warranty"" repairs we've negotiated a 10% discount for you, from our partner repair centre., ,
  ,
,    
"
,,,,,,,,
iPhone 7 Plus | 32GB | Local stock.,https://www.bidorbuy.co.za/item/307989539/iPhone_7_Plus_32GB_Local_stock.html,"
  ,  iPhone 7 Plus  32GB  iOS  4.5 to 4.9 Inches  16 Megapixels or more",1,"R8,400.",10/22/2017,celltrader786,https://www.bidorbuy.co.za/seller/1583539/celltrader786,"
	,	
	  , , ,iPhone 7 Plus |32GB,| Black | In Stock ,this is in 9/10 condition. Device and charger only.,iPhone 7 dramatically improves the most important aspects of the iPhone experience. It introduces advanced new camera systems. The best performance and battery life ever in an iPhone. Immersive stereo speakers. The brightest, most colorful iPhone display. Splash and water resistance. And it looks every bit as powerful as it is., , Limited Stock!,Design,iPhone 7 reaches a new level of innovation and precision. The jet black finish is like nothing we’ve ever made. The enclosure is splash and water resistant. The Home button is completely reengineered. And with a new unibody design that’s seamless to the touch, iPhone 7 feels as amazing as it looks., ,Built to be water resistant.,With its entire enclosure reengineered, iPhone 7 is the very first water resistant iPhone. So now you’re protected like never before against spills, splashes, and even dust., ,An all-new Home button.,The Home button on iPhone 7 is an advanced solid-state button designed to be durable, responsive, and pressure sensitive. Working in tandem with the new Taptic Engine, it gives you precise tactile feedback as you press., , ,Camera,iPhone is the most popular camera in the world. Now we’ve reengineered that beloved camera, adding optical image stabilization, an ƒ/1.8 aperture, and a six-element lens to make it even better for shooting photos and videos in low light. And with advanced new features like wide color capture, your photos and Live Photos will look even more vibrant., ,Now your movies are just like the movies.,Videos shot in darker settings with iPhone 7 will look remarkably better, enhanced by optical image stabilization and the all-new ƒ/1.8 aperture. And the 12MP camera captures high-resolution video up to 4K. So you can shoot epic movies of epic moments, even if they’re happening in low light., ,New 7MP front-facing camera. Love your selfie.,The FaceTime HD camera is not only higher resolution, but it also uses wide color capture. So now you can take sharper and more vibrant selfies.,Display.,Almost everything you experience with your iPhone comes to life on its display. It’s where you look at the photos, messages, news, and countless other things that make up your day. The iPhone 7 display uses the same color space as the digital cinema industry, so what you see will be noticeably more brilliant and vibrant.,With a new wide color gamut, the Retina HD display is able to deliver cinemastandard colors — and the best color management in the smartphone industry. More shades of the color spectrum can be used to create an image, meaning that what you see on the screen is a truer representation of the world. So whether you’re checking out photos of that perfect dress or Live Photos you took in the tropics, the colors will be so accurate, it will look like you’re there., ,3D Touch. Now even handier.,When you use 3D Touch, your iPhone responds with subtle taps. So not only will you see what a press can do — you’ll feel it. The new Retina HD display on iPhone 7 deeply integrates 3D Touch throughout iOS. Now you can interact with Messages, Calendar, Mail, and other apps in a more powerful way., ,Audio.,For the first time, iPhone comes with stereo speakers, delivering two times the audio output of iPhone 6s and increased dynamic range. So whether you’re listening to music, watching videos, or making speakerphone calls, iPhone 7 lets you crank it up., ,IN STOCK AND READY FOR IMMEDIATE SHIPMENT,
  ,
,    
"
,,,,,,,,
"Apple iPhone 6s 64GB Space Grey (Excellent Condition, Free Shipping)",https://www.bidorbuy.co.za/item/309571184/Apple_iPhone_6s_64GB_Space_Grey_Excellent_Condition_Free_Shipping.html,"
  ,  iPhone 6s  64GB  iOS  4.5 to 4.9 Inches  12 Megapixels or more",1,"R4,999.",10/22/2017,Mobile-Express-Store,https://www.bidorbuy.co.za/seller/3439209/Mobile-Express-Store,"
	,	
	  , Description:  Apple iPhone 6s 64GB Space Grey with accessories (Box & Charger),Accessories:  Original Box, Charger,Condition:  Excellent - 9/10,Working condition:  Perfect, like new - all aspects tested including touch ID, camera, battery etc.  Fully unlocked, reset and open to,                                any network.,Warranty:  No, these items are pre-owned,Returns/Refunds:  Yes, within 7 days of delivery if item is faulty - must be returned undamaged and in same excellent condition as sold to you.  Note, items must also be unlocked/reset and returned with all accessories sold with it to be valid.,Shipping:  Free of charge for collection at your nearest Postnet (Free shipping only applicable to Postnet stores, if you live far from a Postnet, please first enquire with us regarding other options).,
  ,
,    
"
,,,,,,,,
IPhone 7 128GB 5months OLD _Gold,https://www.bidorbuy.co.za/item/309395548/IPhone_7_128GB_5months_OLD_Gold.html,"
  ,  iPhone 7  128GB  iOS  4.5 to 4.9 Inches  12 Megapixels or more",1,"R8,500.",10/22/2017,beta_tester,https://www.bidorbuy.co.za/seller/2964301/beta_tester,"
	,	
	  ,item is 5 months old,not a scratch or dent 10/10,includes:,box and all sealed accessories,+ free Superfly Cover,WARRANTY FEB 2018, ,  , ,iPhone 7 | 128GB ,iPhone  7 dramatically improves the most important aspects of the iPhone  experience. It introduces advanced new camera systems. The best  performance and battery life ever in an iPhone. Immersive stereo  speakers. The brightest, most colorful iPhone display. Splash and water  resistance. And it looks every bit as powerful as it is.,  ,  ,  , ,Silver, Gold, Rose Gold, Matte Black,Design,iPhone  7 reaches a new level of innovation and precision. The jet black finish  is like nothing we’ve ever made. The enclosure is splash and water  resistant. The Home button is completely reengineered. And with a new  unibody design that’s seamless to the touch, iPhone 7 feels as amazing  as it looks., ,Built to be water resistant.,With  its entire enclosure reengineered, iPhone 7 is the very first water  resistant iPhone. So now you’re protected like never before against  spills, splashes, and even dust., ,An all-new Home button.,The  Home button on iPhone 7 is an advanced solid-state button designed to  be durable, responsive, and pressure sensitive. Working in tandem with  the new Taptic Engine, it gives you precise tactile feedback as you  press., , ,Camera,iPhone  is the most popular camera in the world. Now we’ve reengineered that  beloved camera, adding optical image stabilization, an ƒ/1.8 aperture,  and a six-element lens to make it even better for shooting photos and  videos in low light. And with advanced new features like wide color  capture, your photos and Live Photos will look even more vibrant., ,Now your movies are just like the movies.,Videos  shot in darker settings with iPhone 7 will look remarkably better,  enhanced by optical image stabilization and the all-new ƒ/1.8 aperture.  And the 12MP camera captures high-resolution video up to 4K. So you can  shoot epic movies of epic moments, even if they’re happening in low  light., ,New 7MP front-facing camera. Love your selfie.,The  FaceTime HD camera is not only higher resolution, but it also uses wide  color capture. So now you can take sharper and more vibrant selfies.,Display.,Almost  everything you experience with your iPhone comes to life on its  display. It’s where you look at the photos, messages, news, and  countless other things that make up your day. The iPhone 7 display uses  the same color space as the digital cinema industry, so what you see  will be noticeably more brilliant and vibrant.,With  a new wide color gamut, the Retina HD display is able to deliver  cinemastandard colors — and the best color management in the smartphone  industry. More shades of the color spectrum can be used to create an  image, meaning that what you see on the screen is a truer representation  of the world. So whether you’re checking out photos of that perfect  dress or Live Photos you took in the tropics, the colors will be so  accurate, it will look like you’re there., ,3D Touch. Now even handier.,When  you use 3D Touch, your iPhone responds with subtle taps. So not only  will you see what a press can do — you’ll feel it. The new Retina HD  display on iPhone 7 deeply integrates 3D Touch throughout iOS. Now you  can interact with Messages, Calendar, Mail, and other apps in a more  powerful way., ,Audio.,For  the first time, iPhone comes with stereo speakers, delivering two times  the audio output of iPhone 6s and increased dynamic range. So whether  you’re listening to music, watching videos, or making speakerphone  calls, iPhone 7 lets you crank it up., ,IN STOCK AND READY FOR IMMEDIATE SHIPMENT,
  ,
,    
"
,,,,,,,,
"Apple iPhone 6 Plus GSM Unlocked Cellphone, 64GB, Space Gray",https://www.bidorbuy.co.za/item/300547262/Apple_iPhone_6_Plus_GSM_Unlocked_Cellphone_64GB_Space_Gray.html,"
  ,  iPhone 6 Plus  64GB  iOS  16 Megapixels or more",1,"R8,999.",10/22/2017,TheeOracle,https://www.bidorbuy.co.za/seller/2692883/TheeOracle,"
	,	
	  , ,Apple iPhone 6 Plus GSM Unlocked Cellphone, 64GB, Space Gray, ,2G: GSM 850 / 900 / 1800 / 1900, 3G: HSDPA 850 / 900 / 1700 / 1900 / 2100, 4G: LTE 700 / 800 / 850 / 900 / 1700 / 1800 / 1900 / 2100 / 2600,5.5"" LED-backlit IPS LCD Multi-Touchscreen Shatter proof glass, oleophobic coating,iOS 8, Dual-Core 1.4 GHz Cyclone (ARM v8-based) Processor, Chipset: Apple A8, PowerVR GX6650 (hexa-core graphics) Graphics,8 Megapixel Camera (3264 x 2448 pixels) w/ Autofocus, Dual-LED (Dual tone) Flash + Front-Facing 1.2 Megapixel Camera, 720p, burst, HDR,Internal Memory: 64GB, 1GB RAM,Unlocked cell phones are compatible with GSM carriers, , , , , , , , , ,
  ,
,    
"
,,,,,,,,
