Title,URL,Product,Items Available,Final Price,Date closed,Seller name,Seller page,Description
Apple iPad Mini 2 16GBs Wifi Only RETINA DISPLAY (BLACK),https://www.bidorbuy.co.za/item/309241628/Apple_iPad_Mini_2_16GBs_Wifi_Only_RETINA_DISPLAY_BLACK.html,"
  ,  iPad Air 2   16 GB  Wi-Fi",1,"R1,510.",2017-10-20,TechieOnline,https://www.bidorbuy.co.za/seller/2736257/TechieOnline,"
	,	
	  , , ,Wi-Fi 16GB - BLACK,There’s more to mini than meets the eye. Uncompromising performance and potential in your hand., ,Photos and videos look incredibly detailed and text is razor sharp on the stunning Retina display. It features over 3.1 million pixels — a million more than an HDTV., ,Item condition:, 9/10. AS NEW CLEAN CLEAN CONDITION,iOS UPDATED, ,What will you get:, ,iPad device + USB Cable + Charging Block only , ,100% Working condition, , , ,
  ,
,    
"
IPAD MINI 2 (APPLE) | 32GB | WiFi | SILVER | ME280HC/A | Retina Display | 7.9 Inch Tablet,https://www.bidorbuy.co.za/item/308605743/IPAD_MINI_2_APPLE_32GB_WiFi_SILVER_ME280HC_A_Retina_Display_7_9_Inch_Tablet.html,"
  ,  iPad Mini  32 GB  Wi-Fi",1,"R1,710.",2017-10-20,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD MINI 2 (APPLE) | 32GB | WiFi | SILVER | ME280HC/A | Retina Display | 7.9 Inch Tablet,** IPAD MINI 2 **, ,COMES WITH USB CABLE, CHARGER ,EXCELLENT CONDITION, , , , ,
  ,
,    
"
APPLE IPAD MINI 2 | 32GB | WiFi | SPACE GREY | ME277HC/A *** IPAD MINI 2** RETINA DISPLAY,https://www.bidorbuy.co.za/item/308447926/APPLE_IPAD_MINI_2_32GB_WiFi_SPACE_GREY_ME277HC_A_IPAD_MINI_2_RETINA_DISPLAY.html,"
  ,  iPad Mini  32 GB  Wi-Fi",1,"R2,500.,R2,750.",2017-10-20,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI 2 | 32GB | WiFi | SPACE GREY | ME277HC/A | ,RETINA DISPLAY,*** IPAD MINI 2*** , , COMES WITH  CHARGER & USB CABLE PLUS BOX,EXCELLENT CONDITION, , , , , , , , ,
  ,
,    
"
APPLE IPAD MINI 3 | 16GB | WiFi | SPACE GREY | MGNR2HC/A | RETINA DISPLAY - *** IPAD MINI 3 ****,https://www.bidorbuy.co.za/item/308635737/APPLE_IPAD_MINI_3_16GB_WiFi_SPACE_GREY_MGNR2HC_A_RETINA_DISPLAY_IPAD_MINI_3.html,"
  ,  iPad Mini 3  16 GB  Wi-Fi",1,"R3,500.,R3,750.",2017-10-20,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI 3 | 16GB | WiFi | SPACE GREY | MGNR2HC/A | ,RETINA DISPLAY,*** IPAD MINI 3 ****, , , COMES WITH CHARGER & USB CABLE, , , ,
  ,
,    
"
Ipad 4 - Wifi/4G - 16GB,https://www.bidorbuy.co.za/item/308763000/Ipad_4_Wifi_4G_16GB.html,"
  ,  iPad 4  16 GB  4G + Wi-Fi",1,"R2,450.",2017-10-18,brabra,https://www.bidorbuy.co.za/seller/2820851/brabra,"
	,	
	  ,Ipad 4 - Wifi/4G - 16GB,condition (9/10), , ,The Ipad is in good condition, with charger and usb cable. , ,WE ARE HAPPY TO ANSWER ANY QUESTIONS - PLEASE ASK!, , ,Do not bid if you do not intent to pay,Shipping and all charges related to it are payable by the buyer,.,The next opened day of the post office after the payment is done, t,he tracking number will be forwarded as soon as the item is dispatched,., ,The payment must be done within 24 hours after winning the bid and no collection is allowed., , , ,
  ,
,    
"
APPLE IPAD MINI 2 | 16GB | WiFi | SPACE GREY | ME276HC/A *** IPAD MINI 2** RETINA DISPLAY,https://www.bidorbuy.co.za/item/308486615/APPLE_IPAD_MINI_2_16GB_WiFi_SPACE_GREY_ME276HC_A_IPAD_MINI_2_RETINA_DISPLAY.html,"
  ,  iPad Mini  16 GB  Wi-Fi",1,"R1,779.",2017-10-18,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI 2 | 16GB | WiFi | SPACE GREY | ME276HC/A ,*** IPAD MINI 2*** , ,*** RETINA DISPLAY **,***  IPAD MINI 2 *** , ,COMES WITH CHARGER & USB CABLE,EXCELLENT CONDITION, , , , , , , , ,
  ,
,    
"
ORIGINAL APPLE IPAD 4|4TH GEN|MD522HC/A|A1460|16GB  | 4G&WIFI | black | USB CABLE | CHARGER |,https://www.bidorbuy.co.za/item/308801612/ORIGINAL_APPLE_IPAD_4_4TH_GEN_MD522HC_A_A1460_16GB_4G_WIFI_black_USB_CABLE_CHARGER.html,"
  ,  iPad 4  16 GB  4G + Wi-Fi",1,"R2,750.",2017-10-18,shop1traiding,https://www.bidorbuy.co.za/seller/3108188/shop1traiding,"
	,	
	  ,                                      APPLE IPAD 4| MD522HC/A| A1460 | 9.5 INCHES | 16 GB | 4G & WIFI | BLACK | LED BACKLIGHT | A-GPS RECEIVER | USB CABLE | CHARGER  | GOOD CONDITION 9/10 |  PAYMENT TO BE MADE WITH 24 HRS | NO COLLECTION                                                                                                  SHIPPING : R199 POSTNET COUNTER TO COUNTER .,
  ,
,    
"
IPAD AIR | 16GB | 4G | WiFi | MD791B/B | SPACE GREY | APPLE  ***  RETINA DISPLAY  ***,https://www.bidorbuy.co.za/item/308487610/IPAD_AIR_16GB_4G_WiFi_MD791B_B_SPACE_GREY_APPLE_RETINA_DISPLAY.html,"
  ,  iPad Air  16 GB  4G + Wi-Fi",1,"R2,040.",2017-10-18,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD AIR | 16GB | 4G | WiFi | MD791B/B | SPACE GREY | APPLE,***  RETINA DISPLAY  ***, , ,COMES WITH CHARGER & USB CABLE ,WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION,SCRATCHES ON SIDE AND BACK, , , ,
  ,
,    
"
IPAD MINI 2 (APPLE) | 32GB | WiFi | SILVER | ME280HC/A | Retina Display | 7.9 Inch Tablet,https://www.bidorbuy.co.za/item/308449895/IPAD_MINI_2_APPLE_32GB_WiFi_SILVER_ME280HC_A_Retina_Display_7_9_Inch_Tablet.html,"
  ,  iPad Mini  32 GB  Wi-Fi",1,"R2,500.,R2,750.",2017-10-18,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD MINI 2 (APPLE) | 32GB | WiFi | SILVER | ME280HC/A | Retina Display | 7.9 Inch Tablet,** IPAD MINI 2 **, ,COMES WITH USB CABLE, CHARGER ,PLUS BOX ,EXCELLENT CONDITION, , , ,
  ,
,    
"
IPAD 4 | 16GB | 4G CELLULAR | WiFi | LATEST | WHITE | GENUINE APPLE  ** RETINA DISPLAY ** MD525HC/A,https://www.bidorbuy.co.za/item/307786162/IPAD_4_16GB_4G_CELLULAR_WiFi_LATEST_WHITE_GENUINE_APPLE_RETINA_DISPLAY_MD525HC_A.html,"
  ,  iPad 4  16 GB  4G + Wi-Fi",1,"R3,490.,R3,750.",2017-10-18,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD 4 | 16GB | 4G | WiFi | LATEST | WHITE | GENUINE APPLE,***  IPAD4 RETINA DISPLAY  ***, , , , , , , ,LAST UNIT ,Stock ready to ship - Do not miss bargain, ,  ,COMES WITH CHARGER &, ,USB CABLE,EXCELLENT CONDITION,Dent in one corner AS PER BELOW PIC, , , , , ,
  ,
,    
"
IPAD 3 | 16GB | WiFi | BLACK | GENUINE APPLE  ***  IPAD3  *** 3G NOT WORKING,https://www.bidorbuy.co.za/item/307693678/IPAD_3_16GB_WiFi_BLACK_GENUINE_APPLE_IPAD3_3G_NOT_WORKING.html,"
  ,  iPad 3  16 GB  4G + Wi-Fi",1,"R2,200.,R2,400.",2017-10-17,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD 3 | 16GB | WiFi | BLACK | GENUINE APPLE, ,***  IPAD3  *** ,MD366SO/A - ONLY WIFI WORKS - 3G NOT WORKING - HENCE THE DISCOUNTED PRICE, , ,***  IPAD3  ***, , , , , ,COMES WITH CHARGER & USB CABLE ,OVERALL EXCELLENT WORKING CONDITION, , , , ,
  ,
,    
"
"*Phone Function* Samsung Galaxy Tab 2 P5100 Titanium 10.1 inch, 32GB, 3G + Bluetooth Folio Keyboard",https://www.bidorbuy.co.za/item/309411326/_Phone_Function_Samsung_Galaxy_Tab_2_P5100_Titanium_10_1_inch_32GB_3G_Bluetooth_Folio_Keyboard.html,"
  ,  Galaxy Tab 2  32 GB  3G + Wi-Fi",1,"R2,500.",2017-10-22,mikemudzi,https://www.bidorbuy.co.za/seller/2638759/mikemudzi,"
	,	
	  ,WITH PHONE FUNCTION + BLUETOOTH KEYBOARD CASE.., , , ,-- THIS BUNDLE DEAL IS WORTH WELL OVER R4000 --, , ,(PICTURES FOR ILLUSTRATION ONLY), , , , , , , ,GENUINE HIGH QUALITY SAMSUNG BKC-1B1 BLUETOOTH FOLIO KEYBOARD, , , , , , ,CLICK HERE FOR TECH SPECS, ,SAMSUNG GALAXY TAB 2 P5100 10.1 INCH + BLUETOOTH FOLIO KEYBOARD,32GB,3G + WIFI,PHONE FUNCTION,Excellent 9 out of 10 condition,R150 Courier shipping to your door (2 - 3 Business Days). 3% Insurance Additional, , , , ,
  ,
,    
"
"SAMSUNG GALAXY TAB E - 9.6"" - 3G & WIFI",https://www.bidorbuy.co.za/item/309497270/SAMSUNG_GALAXY_TAB_E_9_6_3G_WIFI.html,"
  ,  8 GB  3G + Wi-Fi",1,"R1,799.",2017-10-22,TECH_STORE,https://www.bidorbuy.co.za/seller/953669/TECH_STORE,"
	,	
	  ,SAMSUNG GALAXY TAB E,EXCELLENT CONDITION,TABLET WITH CHARGER AND CABLE ONLY,ACTUAL PICS:, ,Processor ,CPU Speed,1.3GHz,CPU Type,Quad-Core,Display ,Size (Main Display),24.34cm (9.6),Resolution (Main Display),1280 x 800 (WXGA),Technology (Main Display),TFT,Color Depth (Main Display),16M,Camera ,Video Recording Resolution,HD (1280 x 720)@30fps,Main Camera - Resolution,CMOS 5.0 MP,Front Camera - Resolution,CMOS 2.0 MP,Main Camera - Auto Focus,Yes,Memory ,RAM Size (GB),1.5 GB,ROM Size (GB),8 GB,External Memory Support,MicroSD (Up to 128GB),Network/Bearer ,Single-SIM,SIM size,Micro-SIM (3FF),Infra,2G GSM, 3G WCDMA,2G GSM,GSM850, GSM900, DCS1800, PCS1900,3G UMTS,B1(2100), B8(900),Connectivity ,USB Version,USB 2.0,Location Technology,GPS, Glonass,Earjack,3.5mm Stereo,Wi-Fi,802.11 b/g/n 2.4GHz,Wi-Fi Direct,Yes,Bluetooth Version,Bluetooth v4.0,OS,Android,Sensors,Accelerometer,Physical specification ,Dimension (HxWxD, mm),241.9 x 149.5 x 8.5,Weight (g),495, ,
  ,
,    
"
Samsung galaxy note 10.1. 2014 edition,https://www.bidorbuy.co.za/item/308089007/Samsung_galaxy_note_10_1_2014_edition.html,"
  ,  Galaxy Note 10.1  16 GB  3G + Wi-Fi",1,"R4,000.",2017-10-22,aikon2x,https://www.bidorbuy.co.za/seller/2234962/aikon2x,"
	,	
	  , ,The Samsung Galaxy Note 10.1 (2014 Edition). Perfect galaxy experience in one portable tablet device. Super clear LCD (2560x1600) resolution. The 2014 edition expands on the advanced productivity and creativity leadership delivered by the original Samsung Galaxy Note 10.1 and, in addition to enabling productivity, the device has been redesigned with a sleek, light, slim frame that is both fashionable and portable,Though used but in perfect condition. Still very powerful.,
  ,
,    
"
"*Phone Function* Samsung Galaxy Tab 2 Titanium 10.1 inch, 32GB, 3G + Bluetooth Keyboard",https://www.bidorbuy.co.za/item/309274093/_Phone_Function_Samsung_Galaxy_Tab_2_Titanium_10_1_inch_32GB_3G_Bluetooth_Keyboard.html,"
  ,  Galaxy Tab 2  32 GB  3G + Wi-Fi",1,"R2,000.",2017-10-20,mikemudzi,https://www.bidorbuy.co.za/seller/2638759/mikemudzi,"
	,	
	  ,WITH PHONE FUNCTION + BLUETOOTH FOLIO KEYBOARD.., , , ,-- THIS BUNDLE DEAL IS WORTH WELL OVER R4000 --, , ,*THIS IS THE LAST R1 LISTING ON THIS ITEM. DO NOT MISS OUT*, , , ,(PICTURES FOR ILLUSTRATION ONLY), , , , , , , ,GENUINE HIGH QUALITY SAMSUNG BKC-1B1 BLUETOOTH FOLIO KEYBOARD, , , , , , ,CLICK HERE FOR TECH SPECS, ,SAMSUNG GALAXY TAB 2 P5100 10.1 INCH + BLUETOOTH FOLIO KEYBOARD,32GB,3G + WIFI,PHONE FUNCTION,8 out of 10 condition,R150 Courier shipping to your door (2 - 3 Business Days). 3% Insurance Additional, , , , ,
  ,
,    
"
***Samsung T531 Galaxy 10.1 Tab 4 ***,https://www.bidorbuy.co.za/item/309153225/_Samsung_T531_Galaxy_10_1_Tab_4.html,"
  ,  Galaxy Tab 4  16 GB  3G + Wi-Fi",1,"R1,700.",2017-10-20,JcRuLz,https://www.bidorbuy.co.za/seller/1236589/JcRuLz,"
	,	
	  , ,***Samsung T531 Galaxy 10.1 Tab 4*** ,(complete in retail box - Local Stock),Excellent Condition 9/10, , , ,For full specifications please go to , ,http://www.gsmarena.com/samsung_galaxy_tab_4_10_1_3g-6246.php, ,
  ,
,    
"
Samsung Galaxy Tab4,https://www.bidorbuy.co.za/item/306769021/Samsung_Galaxy_Tab4.html,"
  ,  Galaxy Tab 4  8 GB  3G + Wi-Fi",1,"R1,800.",2017-10-19,Rina Loots,https://www.bidorbuy.co.za/seller/1408673/Rina_Loots,"
	,	
	  , Samsung Galaxy Tab 4 in very good condition.  No scratches.  Comes with black book cover.,
  ,
,    
"
"*Phone Function* Samsung Galaxy Tab 2 Titanium 10.1 inch, 32GB, 3G + Bluetooth Keyboard",https://www.bidorbuy.co.za/item/308781247/_Phone_Function_Samsung_Galaxy_Tab_2_Titanium_10_1_inch_32GB_3G_Bluetooth_Keyboard.html,"
  ,  Galaxy Tab 2  32 GB  3G + Wi-Fi",1,"R2,400.",2017-10-18,mikemudzi,https://www.bidorbuy.co.za/seller/2638759/mikemudzi,"
	,	
	  ,WITH PHONE FUNCTION + BLUETOOTH FOLIO KEYBOARD.., , , ,-- THIS BUNDLE DEAL IS WORTH WELL OVER R4000 --, , ,*THIS IS THE LAST R1 LISTING ON THIS ITEM. DO NOT MISS OUT*, , , ,(PICTURES FOR ILLUSTRATION ONLY), , , , , , , ,GENUINE HIGH QUALITY SAMSUNG BKC-1B1 BLUETOOTH FOLIO KEYBOARD, , , , , , ,CLICK HERE FOR TECH SPECS, ,SAMSUNG GALAXY TAB 2 P5100 10.1 INCH + BLUETOOTH FOLIO KEYBOARD,32GB,3G + WIFI,PHONE FUNCTION,8 out of 10 condition,R150 Courier shipping to your door (2 - 3 Business Days). 3% Insurance Additional, , , , ,
  ,
,    
"
