Title,URL,Product,Items Available,Final Price,Winning bid,Date closed,Seller name,Seller page,Description
IPAD 3 | 64GB | WiFi | BLACK | MC707SO/A | GENUINE APPLE  ***  IPAD3  ***,https://www.bidorbuy.co.za/item/309517490/IPAD_3_64GB_WiFi_BLACK_MC707SO_A_GENUINE_APPLE_IPAD3.html,Apple  iPad 3  64 GB  4G + Wi-Fi,1,"R3,500.,R3,750.",,10/26/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD 3 | 64GB | WiFi | BLACK | MC707SO/A | GENUINE APPLE,VERY GOOD CONDITION ,COMES WITH CHARGER & USB CABLE ,PLUS BOX, , , , , , , ,COMES WITH CHARGER & USB CABLE ,OVERALL EXCELLENT WORKING CONDITION, , , , ,
  ,
,    
"
,,,,,,,,,
iPad 2 16GB Wi-Fi Only Silver {Good Condition 7.5/10} (6 Month Warranty),https://www.bidorbuy.co.za/item/308371398/iPad_2_16GB_Wi_Fi_Only_Silver_Good_Condition_7_5_10_6_Month_Warranty.html,Apple  iPad 2  16 GB  Wi-Fi,1,"R1,999.",,10/26/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,: The screen still looks really good, there are almost no marks or scratches from previous usage. There are a few small marks under the glass that are only visible when the device is off.,Frame,: The frame also still looks good with a few barely noticeable marks from previous usage,,Back Casing,: The back casing has a few small marks from previous usage, other than that it still looks fantastic!,Functions,: All system functions are working 100% on this device. ,Special Mention,: This device is going for a great price and is still in a fantastic working condition, this really is an Epic Deal!,Accessories,: This device comes with a high quality generic charger and USB cable. , ,Karina - ""Fantastic and efficient service from seller. Always keeping me up to date. Fast delivery. Thank you very much guys!"",Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). ,Like all our devices, this iPad is not iCloud locked!,*Your iPad comes with a 6 month warranty (excluding general wear and tear)*,Have peace of mind when buying from Epic Deals,In association with one of SA's best repair centres, your device will be covered by a 6 month warranty against manufacturer defects. The warranty begins the day you receive your device.,Software, liquid and physical damage is not covered. Device will be sent to us for warranty claims and will be processed as quickly as possible. All transport costs to be borne by buyer. If you ever need ""out of warranty"" repairs we've negotiated a 10% discount for you, from our partner repair centre.,
  ,
,    
"
,,,,,,,,,
Apple iPad mini 4 Cellular & Wifi 64GB,https://www.bidorbuy.co.za/item/310018475/Apple_iPad_mini_4_Cellular_Wifi_64GB.html,Apple  iPad Mini 4  64 GB  4G + Wi-Fi,1,"R4,300.",,10/26/2017,Nerdy Technotrade,https://www.bidorbuy.co.za/seller/2621396/Nerdy_Technotrade,"
	,	
	  , ,Condition:,The device is in perfect condition.,Hardly used, good as new and has tempered glass on.,Comes with the box and accessories., ,Nerdy rating:,10/10, ,Pictures:, , ,We'll go to great lengths to make sure that you're a happy nerd;),Buy. Sell. Fix,
  ,
,    
"
,,,,,,,,,
APPLE IPAD MINI | 16GB | WiFi | SPACE GREY | BOX | MF432HC/A | GENUINE APPLE *** IPAD MINI ***,https://www.bidorbuy.co.za/item/309751218/APPLE_IPAD_MINI_16GB_WiFi_SPACE_GREY_BOX_MF432HC_A_GENUINE_APPLE_IPAD_MINI.html,Apple  iPad Mini  16 GB  Wi-Fi,1,"R1,358.","R1,358.00   25 Oct 21:55  ",10/25/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI | 16GB | WiFi | SPACE GREY | BOX | MF432HC/A | GENUINE APPLE, ,***  IPAD MINI  ***, ,7,9"" LED | Camera 5MP iSight | A5 chip 1GHz Dual-Core CPU,***  IPAD MINI  ***, COMES WITH CHARGER & USB CABLE, GOOD CONDITION, , , , , , , ,
  ,
,    
"
,,,,,,,,,
APPLE IPAD AIR SPARES BLACK,https://www.bidorbuy.co.za/item/305394971/APPLE_IPAD_AIR_SPARES_BLACK.html,Apple  iPad Air  32 GB  4G + Wi-Fi,1,"R1,000.",,10/25/2017,Bargain 24 Computers,https://www.bidorbuy.co.za/seller/2898413/Bargain_24_Computers,"
	,	
	  , AUCTION STOCK,Icloud BLOCKED Apple ipad Air model A1475. Great physical condition. 9/10.,Sold as spares. No charger ,
  ,
,    
"
,,,,,,,,,
