Title,URL,Product,Items Available,Final Price,Winning bid,Date closed,Seller name,Seller page,Description
Apple MacBook Pro 13.3-inch | Core i5 2.5GHz | 4GB DDR3 RAM | 500GB HDD | MD101 - ORIGINAL APPLE,https://www.bidorbuy.co.za/item/306877934/Apple_MacBook_Pro_13_3_inch_Core_i5_2_5GHz_4GB_DDR3_RAM_500GB_HDD_MD101_ORIGINAL_APPLE.html,"MacBook Pro † 13 inch"" † 500GB †4 GB Ram †2.5Ghz or more †",1,"R5,400.","R5,400.00 † 6†Oct†08:24 †",10/26/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,Apple MacBook Pro 13.3-inch | Core i5 2.5GHz | 4GB DDR3 RAM | 500GB HDD,†,*** GENUINE APPLE ***,†,†,†,COMES WITH APPLE CHARGER ONLY †,†,WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION,†,TOP HAS SCRATCHES AND CORNERS HAS DENTS,†,†,†,†,†,
  ,
,    
"
,,,,,,,,,
Macbook Air 13inch - Core i5 - 8 GB Ram - 128 GB SSD - Early 2015 **As New**,https://www.bidorbuy.co.za/item/309724467/Macbook_Air_13inch_Core_i5_8_GB_Ram_128_GB_SSD_Early_2015_As_New.html,"MacBook Air † 13 inch"" † 128GB †8 GB Ram †1.6Ghz or more †",1,"R7,000.","R7,000.00 † 25†Oct†22:42 †",10/25/2017,brabra,https://www.bidorbuy.co.za/seller/2820851/brabra,"
	,	
	  ,†,†,††,Core i5 CPU @ 1.6 GHz,13-inch,† Early 2015,Intel HD Graphics 6000 ,8 GB Ram,128 GB SSD,webcam,†,†,condition 9.9/10,†,The Laptop is in very good condition with charger. ,Clean as new, dents free,†,WE ARE HAPPY TO ANSWER ANY QUESTIONS - PLEASE ASK!,†,†,Do not bid if you do not intent to pay,Shipping and all charges related to it are payable by the buyer,.,The opened day of the post office after the payment is done, t,he tracking number will be forwarded as soon as the item is dispatched,.,†,The payment must be done within 24 hours after winning the bid and no collection is allowed,†,
  ,
,    
"
,,,,,,,,,
Samsung 8GB DDR3 PC3L 12800S RAM,https://www.bidorbuy.co.za/item/309633719/Samsung_8GB_DDR3_PC3L_12800S_RAM.html,Samsung† 8GB† Laptop† DDR3† 204-pin SO-DIMM,1,R550.,R550.00 † 25†Oct†22:29 †,10/25/2017,VincemEnterprise,https://www.bidorbuy.co.za/seller/2626462/VincemEnterprise,"
	,	
	  ,I have†Samsung 8GB DDR3 PC3L 12800S RAM for sale.,The ram is working perfectly and will give you 6 months warranty as long as†the ram†remains with my warranty sticker.,BID ONLY IF YOU ARE GOING TO PAY AND PAYMENT MUST BE DONE WITHIN 48 HOURS. AFTER 48 HOURS THIS ITEM WILL BE RELISTED.,ITEM WILL BE SHIPPPED VIA ARAMEX AND SHIPPING COST IS R125.,†,†,
  ,
,    
"
,,,,,,,,,
Samsung 4GB DDR3 PC3L 12800S RAM,https://www.bidorbuy.co.za/item/309634627/Samsung_4GB_DDR3_PC3L_12800S_RAM.html,Samsung† 4GB† Laptop† DDR3† 204-pin SO-DIMM,1,R251.,R251.00 † 25†Oct†11:45 †,10/25/2017,VincemEnterprise,https://www.bidorbuy.co.za/seller/2626462/VincemEnterprise,"
	,	
	  ,I have Samsung 4GB DDR3 PC3L 12800S RAM for sale.,The ram is working perfectly and will give you 6 months warranty as long as†the ram†remains with my warranty sticker.,BID ONLY IF YOU ARE GOING TO PAY AND PAYMENT MUST BE DONE WITHIN 48 HOURS. AFTER 48 HOURS THIS ITEM WILL BE RELISTED.,ITEM WILL BE SHIPPPED VIA ARAMEX AND SHIPPING COST IS R125.,
  ,
,    
"
,,,,,,,,,
Apple MacBook Pro,https://www.bidorbuy.co.za/item/309839234/Apple_MacBook_Pro.html,"MacBook Pro † 13 inch"" † 4 GB Ram †2.3Ghz or more †",1,"R5,000.","R5,000.00 † 25†Oct†23:03 †",10/25/2017,amazonreaper,https://www.bidorbuy.co.za/seller/1277705/amazonreaper,"
	,	
	  ,MacBook Pro (13-inch, Early 2011),Good Condition,100% Working Order,Overall Condition (7/10) (Slight bumps and scratches under the laptop),Includes Power Cable and Laptop Bag,†,†,†,Size and weight,Height: 0.95 inch (2.41 cm),Width: 12.78 inches (32.5 cm),Depth: 8.94 inches (22.7 cm),Weight: 4.5 pounds (2.04 kg),1,Communications,Wi-Fi wireless networking,2,†(based on IEEE 802.11n specification); IEEE 802.11a/b/g compatible,Bluetooth 2.1 + EDR (Enhanced Data Rate) wireless technology,10/100/1000BASE-T Gigabit Ethernet (RJ-45 connector),Audio,Stereo speakers with subwoofer,Omnidirectional microphone,Combined headphone/line in (supports digital output),Support for Apple iPhone headset with microphone,Battery and power,Up to†,7,†hrs,†wireless web,Built-in 63.5-watt-hour lithium-polymer battery,60W MagSafe Power Adapter with cable management system,MagSafe power port,†,†,SERIOUS BUYERS ONLY,PAYMENT TO BE MADE WITHIN 24 HOURS OF WINNING,24 HOUR AUCTION,HAPPY BIDDING,†,†,
  ,
,    
"
,,,,,,,,,
