title,url
"[<Selector xpath='//*[@class=""item_title""]/text()' data='OnePlus 5 128GB/8GB - Unlocked Globally '>]",https://www.bidorbuy.co.za/item/304446671/OnePlus_5_128GB_8GB_Unlocked_Globally_w_Global_ROM_Slate_Gray.html
"[<Selector xpath='//*[@class=""item_title""]/text()' data='Iphone 6 16GB Black/Silver'>]",https://www.bidorbuy.co.za/item/307555018/Iphone_6_16GB_Black_Silver.html
"[<Selector xpath='//*[@class=""item_title""]/text()' data='Samsung Galaxy A7 2017'>]",https://www.bidorbuy.co.za/item/304539478/Samsung_Galaxy_A7_2017.html
"[<Selector xpath='//*[@class=""item_title""]/text()' data='ZTE MF920V modem. Retail R999!'>]",https://www.bidorbuy.co.za/item/308744824/ZTE_MF920V_modem_Retail_R999.html
"[<Selector xpath='//*[@class=""item_title""]/text()' data='Apple iPhone 7 Black 128GB LTE'>]",https://www.bidorbuy.co.za/item/308169748/Apple_iPhone_7_Black_128GB_LTE.html
"[<Selector xpath='//*[@class=""item_title""]/text()' data='Apple Iphone SE 16GB. Rose Gold.'>]",https://www.bidorbuy.co.za/item/308491888/Apple_Iphone_SE_16GB_Rose_Gold.html
"[<Selector xpath='//*[@class=""item_title""]/text()' data='Apple Iphone 5S 32GB. Please read.'>]",https://www.bidorbuy.co.za/item/308776597/Apple_Iphone_5S_32GB_Please_read.html
"[<Selector xpath='//*[@class=""item_title""]/text()' data='786 Cell Number  - 0 786 88 33 54'>]",https://www.bidorbuy.co.za/item/308684893/786_Cell_Number_0_786_88_33_54.html
"[<Selector xpath='//*[@class=""item_title""]/text()' data='Apple Iphone 5S 16GB. Good condition.'>]",https://www.bidorbuy.co.za/item/308776233/Apple_Iphone_5S_16GB_Good_condition.html
"[<Selector xpath='//*[@class=""item_title""]/text()' data='082 Cell Number  - 082 539 4174'>]",https://www.bidorbuy.co.za/item/308685144/082_Cell_Number_082_539_4174.html
